Raman shift [1/cm],Intensity
1433.85,616.50689
1432.379,622.43966
1430.908,628.53055
1429.437,633.99112
1427.966,644.1195
1426.495,655.03145
1425.024,662.77478
1423.553,680.36765
1422.082,696.15504
1420.61,711.57526
1419.139,725.41143
1417.668,733.06181
1416.197,744.44495
1414.726,747.04389
1413.255,757.56719
1411.784,774.8503
1410.313,793.01777
1408.842,811.93185
1407.371,832.33992
1405.899,855.8272
1404.428,885.22428
1402.957,918.39943
1401.486,937.35274
1400.015,958.84647
1398.544,977.30175
1397.073,993.64076
1395.602,1014.9109
1394.131,1034.1236
1392.66,1054.2463
1391.188,1076.7349
1389.717,1098.1592
1388.246,1123.4221
1386.775,1146.7379
1385.304,1170.2728
1383.833,1203.3851
1382.362,1220.8691
1380.891,1243.0459
1379.42,1275.08
1377.949,1308.6806
1376.477,1354.5578
1375.006,1414.0695
1373.535,1464.8185
1372.064,1536.2611
1370.593,1612.9686
1369.122,1692.544
1367.651,1773.7993
1366.18,1842.098
1364.709,1891.0417
1363.238,1923.9601
1361.766,1928.9903
1360.295,1925.6984
1358.824,1904.4413
1357.353,1857.2138
1355.882,1795.8652
1354.411,1726.4318
1352.94,1650.9599
1351.469,1597.15
1349.998,1542.125
1348.527,1496.3203
1347.055,1454.9151
1345.584,1420.4223
1344.113,1394.1869
1342.642,1379.282
1341.171,1374.8342
1339.7,1384.2111
1338.229,1392.9374
1336.758,1384.782
1335.287,1380.2542
1333.816,1383.8802
1332.344,1392.1061
1330.873,1402.2562
1329.402,1410.3676
1327.931,1416.5317
1326.46,1428.5397
1324.989,1453.0958
1323.518,1486.1456
1322.047,1528.4874
1320.576,1583.3473
1319.105,1644.657
1317.633,1694.0562
1316.162,1738.2569
1314.691,1778.5816
1313.22,1804.0075
1311.749,1808.2048
1310.278,1789.7485
1308.807,1750.0336
1307.336,1691.7656
1305.865,1623.6498
1304.394,1553.0077
1302.922,1490.8267
1301.451,1437.6275
1299.98,1390.7219
1298.509,1353.5801
1297.038,1320.7611
1295.567,1306.6681
1294.096,1299.4576
1292.625,1295.351
1291.154,1290.3726
1289.683,1282.1219
1288.211,1269.4402
1286.74,1253.821
1285.269,1242.7561
1283.798,1237.8542
1282.327,1234.7084
1280.856,1229.5008
1279.385,1225.9967
1277.914,1224.855
1276.443,1229.784
1274.972,1242.5536
1273.5,1253.4483
1272.029,1264.6026
1270.558,1278.1438
1269.087,1281.4201
1267.616,1281.1043
1266.145,1276.6887
1264.674,1273.3697
1263.203,1265.2231
1261.732,1254.3657
1260.261,1248.846
1258.789,1260.8506
1257.318,1251.1312
1255.847,1237.9218
1254.376,1224.534
1252.905,1216.6096
1251.434,1218.1484
1249.963,1228.8622
1248.492,1228.6057
1247.021,1224.4985
1245.55,1223.653
1244.078,1230.5581
1242.607,1233.3742
1241.136,1241.752
1239.665,1263.2953
1238.194,1296.8881
1236.723,1287.1763
1235.252,1264.4333
1233.781,1251.3135
1232.31,1242.7626
1230.839,1225.0911
1229.367,1216.3413
1227.896,1205.9274
1226.425,1199.639
1224.954,1203.7555
1223.483,1193.5702
1222.012,1184.1826
1220.541,1196.3499
1219.07,1222.3036
1217.599,1243.0236
1216.128,1232.9026
1214.656,1224.373
1213.185,1225.8728
1211.714,1220.7088
1210.243,1214.0144
1208.772,1227.0546
1207.301,1244.0549
1205.83,1256.1359
1204.359,1267.7555
1202.888,1271.3978
1201.417,1286.781
1199.945,1307.6133
1198.474,1323.9889
1197.003,1335.7639
1195.532,1342.991
1194.061,1354.0222
1192.59,1358.9694
1191.119,1361.7582
1189.648,1371.8181
1188.177,1395.6749
1186.706,1406.2708
1185.234,1396.803
1183.763,1381.9585
1182.292,1365.1285
1180.821,1343.5068
1179.35,1314.5824
1177.879,1281.0978
1176.408,1248.3553
1174.937,1213.6902
1173.466,1180.7084
1171.995,1149.6588
1170.523,1136.0699
1169.052,1123.7479
1167.581,1104.0599
1166.11,1072.2153
1164.639,1036.5717
1163.168,997.12617
1161.697,967.57069
1160.226,944.03913
1158.755,921.02499
1157.284,908.7381
1155.812,904.35208
1154.341,908.67433
1152.87,920.19124
1151.399,932.74474
1149.928,941.31114
1148.457,934.39696
1146.986,920.97977
1145.515,913.05272
1144.044,905.0955
1142.573,906.03391
1141.101,890.18866
1139.63,882.60229
1138.159,880.4127
1136.688,884.7653
1135.217,888.43723
1133.746,897.97691
1132.275,906.60903
1130.804,908.72979
1129.333,905.36135
1127.862,909.95198
1126.39,905.85986
1124.919,902.90389
1123.448,901.75839
1121.977,899.22317
1120.506,873.03734
1119.035,866.99671
1117.564,855.58254
1116.093,837.97325
1114.622,825.43339
1113.151,825.5737
1111.679,824.84033
1110.208,819.82161
1108.737,828.04996
1107.266,836.78166
1105.795,817.01086
1104.324,806.5796
1102.853,797.26219
1101.382,791.36809
1099.911,786.09495
1098.44,773.11668
1096.968,756.55111
1095.497,744.07488
1094.026,743.4753
1092.555,754.58552
1091.084,766.77478
1089.613,761.91248
1088.142,769.18949
1086.671,765.46188
1085.2,746.90869
1083.729,750.74533
1082.257,754.12034
1080.786,756.33745
1079.315,753.22546
1077.844,746.05472
1076.373,744.25566
1074.902,746.35796
1073.431,756.32199
1071.96,771.08314
1070.489,780.86804
1069.018,769.44594
1067.546,762.35659
1066.075,751.59078
1064.604,742.27996
1063.133,738.19019
1061.662,723.78616
1060.191,707.83424
1058.72,690.6916
1057.249,671.80168
1055.778,652.49473
1054.307,638.55715
1052.835,627.94446
1051.364,618.94352
1049.893,609.75596
1048.422,599.52151
1046.951,579.34023
1045.48,572.25958
1044.009,576.55081
1042.538,569.81687
1041.067,568.97779
1039.596,555.7135
1038.124,535.25065
1036.653,516.98157
1035.182,496.54572
1033.711,481.5646
1032.24,469.19596
1030.769,459.02052
1029.298,449.45803
1027.827,433.44172
1026.356,415.87737
1024.885,412.93042
1023.413,406.82139
1021.942,397.03707
1020.471,385.28089
1019,356.40366
1017.529,334.16948
1016.058,323.00488
1014.587,319.67656
1013.116,313.58814
1011.645,302.87258
1010.174,294.2674
1008.702,278.77101
1007.231,258.61819
1005.76,249.56646
1004.289,246.5523
1002.818,251.24617
1001.347,240.57415
999.876,216.56978
998.405,201.03678
996.934,193.58824
995.463,192.85514
993.991,199.43853
992.52,197.92901
991.049,199.59506
989.578,204.75451
988.107,220.26473
986.636,233.10773
985.165,239.904
983.694,249.94056
982.223,254.40902
980.752,245.81044
979.28,245.28741
977.809,239.11231
976.338,246.56175
974.867,255.39601
973.396,272.03498
971.925,296.73964
970.454,303.50782
968.983,310.30251
967.512,324.61225
966.041,324.05972
964.569,325.09332
963.098,331.76497
961.627,344.69906
960.156,365.83372
958.685,382.28787
957.214,396.16307
955.743,421.61849
954.272,438.27094
952.801,459.39931
951.33,478.00803
949.858,472.85163
948.387,470.56073
946.916,472.92784
945.445,483.81698
943.974,500.37928
942.503,513.51291
941.032,532.98392
939.561,537.0532
938.09,543.12203
936.619,556.51449
935.147,569.88508
933.676,581.09075
932.205,590.14571
930.734,595.33412
929.263,597.79371
927.792,600.30254
926.321,608.5756
924.85,615.85477
923.379,614.57551
921.908,620.58874
920.436,621.51111
918.965,614.21021
917.494,626.96379
916.023,645.25882
914.552,656.70739
913.081,662.56348
911.61,668.26866
910.139,677.2152
908.668,683.86375
907.197,686.64165
905.725,689.58919
904.254,686.36415
902.783,681.25634
901.312,683.47502
899.841,680.67563
898.37,686.90164
896.899,690.84038
895.428,683.91852
893.957,668.65734
892.486,655.87594
891.014,640.21916
889.543,620.57016
888.072,598.49373
886.601,580.46454
885.13,565.34662
883.659,549.66518
882.188,534.72839
880.717,526.65563
879.246,521.93173
877.775,519.78813
876.303,513.69435
874.832,504.48871
873.361,493.88906
871.89,482.44084
870.419,467.50255
868.948,457.31928
867.477,443.3278
866.006,418.10115
864.535,392.72383
863.064,368.76564
861.592,350.86109
860.121,344.78203
858.65,343.26161
857.179,351.26636
855.708,354.06264
854.237,325.21081
852.766,295.17773
851.295,274.73908
849.824,262.71651
848.353,241.6924
846.881,215.56076
845.41,191.14924
843.939,181.80765
842.468,184.77618
840.997,195.22154
839.526,212.71165
838.055,234.56769
836.584,255.25932
835.113,261.74385
833.642,254.25801
832.17,259.86802
830.699,268.8857
829.228,271.70542
827.757,266.70758
826.286,270.95181
824.815,274.38133
823.344,276.46905
821.873,273.73339
820.402,263.73608
818.931,253.5486
817.459,245.72313
815.988,240.26452
814.517,240.45144
813.046,241.24672
811.575,241.02333
810.104,243.60064
808.633,255.98784
807.162,272.57665
805.691,285.20555
804.22,291.83801
802.748,296.70308
801.277,299.09853
799.806,302.55402
798.335,316.70226
