,PET,
Raman shift [1/cm],Intensity,
1475.933,80.59852,
1474.462,90.582251,
1472.991,122.07541,
1471.520,98.376953,
1470.049,122.72573,
1468.578,115.46168,
1467.107,118.76277,
1465.635,144.28477,
1464.164,142.5876,
1462.693,136.27817,
1461.222,152.30648,
1459.751,127.38721,
1458.280,53.086707,
1456.809,115.11161,
1455.338,105.55153,
1453.867,121.92408,
1452.396,125.13318,
1450.924,120.65734,
1449.453,122.18458,
1447.982,123.48059,
1446.511,116.63581,
1445.040,114.27318,
1443.569,130.1376,
1442.098,128.29142,
1440.627,116.47684,
1439.156,128.11694,
1437.685,116.61886,
1436.213,123.45927,
1434.742,135.48247,
1433.271,134.00927,
1431.800,120.26124,
1430.329,116.81382,
1428.858,135.30551,
1427.387,125.65834,
1425.916,134.30355,
1424.445,137.76246,
1422.974,154.08638,
1421.502,155.83652,
1420.031,161.36494,
1418.560,165.58569,
1417.089,166.47717,
1415.618,178.09497,
1414.147,191.06487,
1412.676,204.02931,
1411.205,178.7899,
1409.734,158.1258,
1408.263,142.94522,
1406.791,144.46006,
1405.320,133.79562,
1403.849,118.99483,
1402.378,126.65824,
1400.907,122.91147,
1399.436,131.46953,
1397.965,102.8339,
1396.494,107.6845,
1395.023,124.51813,
1393.552,117.57621,
1392.080,114.73715,
1390.609,126.72354,
1389.138,125.60123,
1387.667,121.3859,
1386.196,145.93072,
1384.725,115.19567,
1383.254,107.2745,
1381.783,124.44815,
1380.312,138.40265,
1378.841,136.32155,
1377.369,129.53294,
1375.898,135.53723,
1374.427,153.78399,
1372.956,151.37326,
1371.485,147.41136,
1370.014,130.86167,
1368.543,133.74468,
1367.072,140.81282,
1365.601,135.26468,
1364.130,135.19235,
1362.658,152.6104,
1361.187,125.50305,
1359.716,131.21856,
1358.245,128.19157,
1356.774,127.42913,
1355.303,137.51707,
1353.832,142.41337,
1352.361,127.14981,
1350.890,147.47828,
1349.419,133.04207,
1347.947,143.6965,
1346.476,160.9599,
1345.005,151.0117,
1343.534,141.05157,
1342.063,145.90651,
1340.592,126.33817,
1339.121,124.9003,
1337.650,142.15856,
1336.179,119.62275,
1334.708,117.98069,
1333.236,129.34605,
1331.765,130.0356,
1330.294,121.01451,
1328.823,137.84488,
1327.352,146.4729,
1325.881,133.41093,
1324.410,148.43713,
1322.939,152.48961,
1321.468,159.74373,
1319.997,183.632,
1318.525,184.21653,
1317.054,180.94019,
1315.583,202.75021,
1314.112,197.6833,
1312.641,201.42474,
1311.170,219.03199,
1309.699,237.22089,
1308.228,244.10458,
1306.757,244.27406,
1305.286,266.80776,
1303.814,278.4562,
1302.343,293.14754,
1300.872,306.49766,
1299.401,332.25762,
1297.930,401.37333,
1296.459,441.35633,
1294.988,491.21567,
1293.517,531.72766,
1292.046,543.0806,
1290.575,537.24606,
1289.103,531.88384,
1287.632,525.98967,
1286.161,504.82251,
1284.690,481.28402,
1283.219,473.11904,
1281.748,459.26779,
1280.277,435.5144,
1278.806,409.12851,
1277.335,382.99319,
1275.864,335.14031,
1274.392,273.96886,
1272.921,238.63499,
1271.450,228.11064,
1269.979,212.41628,
1268.508,171.26618,
1267.037,173.94209,
1265.566,160.96563,
1264.095,148.24228,
1262.624,138.9069,
1261.153,131.31018,
1259.681,122.62108,
1258.210,113.28547,
1256.739,125.44506,
1255.268,112.03167,
1253.797,98.339641,
1252.326,93.351872,
1250.855,94.811299,
1249.384,97.232816,
1247.913,119.62776,
1246.442,74.181916,
1244.970,83.262501,
1243.499,96.303021,
1242.028,92.187747,
1240.557,84.9013,
1239.086,91.617647,
1237.615,95.255783,
1236.144,116.37698,
1234.673,104.13985,
1233.202,81.588019,
1231.731,83.751676,
1230.259,75.785843,
1228.788,63.677821,
1227.317,25.582137,
1225.846,37.268376,
1224.375,65.268077,
1222.904,71.374298,
1221.433,115.85474,
1219.962,90.582445,
1218.491,89.2653,
1217.020,78.552909,
1215.548,73.496273,
1214.077,87.934564,
1212.606,83.577811,
1211.135,101.425,
1209.664,91.076673,
1208.193,113.50579,
1206.722,129.21336,
1205.251,92.461352,
1203.780,106.75162,
1202.309,104.76316,
1200.837,120.3082,
1199.366,119.9839,
1197.895,116.52948,
1196.424,143.81659,
1194.953,162.92913,
1193.482,161.85255,
1192.011,178.68882,
1190.540,202.77461,
1189.069,222.05882,
1187.598,231.49931,
1186.126,215.97644,
1184.655,196.34714,
1183.184,208.56813,
1181.713,218.47872,
1180.242,196.97639,
1178.771,181.48905,
1177.300,169.98436,
1175.829,166.60052,
1174.358,159.37476,
1172.887,150.17371,
1171.415,146.5633,
1169.944,113.13364,
1168.473,112.95813,
1167.002,113.18691,
1165.531,117.65128,
1164.060,124.88022,
1162.589,104.526,
1161.118,103.95675,
1159.647,114.90051,
1158.176,111.8447,
1156.704,102.26881,
1155.233,114.62058,
1153.762,92.662836,
1152.291,123.19666,
1150.820,133.67357,
1149.349,124.82847,
1147.878,121.08108,
1146.407,141.59036,
1144.936,120.68154,
1143.465,119.95298,
1141.993,121.58615,
1140.522,119.17743,
1139.051,143.21724,
1137.580,164.81775,
1136.109,146.18448,
1134.638,137.59966,
1133.167,150.26256,
1131.696,157.45675,
1130.225,183.82624,
1128.754,186.48283,
1127.282,198.68745,
1125.811,217.28368,
1124.340,222.02117,
1122.869,234.23647,
1121.398,247.11155,
1119.927,283.21892,
1118.456,316.59623,
1116.985,313.03003,
1115.514,305.11614,
1114.043,283.49622,
1112.571,272.41608,
1111.100,270.77517,
1109.629,268.01998,
1108.158,244.19179,
1106.687,250.23147,
1105.216,264.31172,
1103.745,284.65586,
1102.274,313.19761,
1100.803,350.37519,
1099.332,388.91752,
1097.860,434.20315,
1096.389,463.43052,
1094.918,457.2816,
1093.447,447.57798,
1091.976,422.18914,
1090.505,388.63655,
1089.034,334.50364,
1087.563,253.32103,
1086.092,217.828,
1084.621,181.69881,
1083.149,168.63032,
1081.678,171.38734,
1080.207,168.90889,
1078.736,123.72386,
1077.265,96.839273,
1075.794,93.303274,
1074.323,98.462211,
1072.852,83.64779,
1071.381,89.222245,
1069.910,109.54012,
1068.438,108.19348,
1066.967,86.255188,
1065.496,93.384307,
1064.025,77.237906,
1062.554,79.342322,
1061.083,82.183509,
1059.612,71.770165,
1058.141,51.302512,
1056.670,59.954179,
1055.199,73.074932,
1053.727,76.081055,
1052.256,58.632238,
1050.785,38.248843,
1049.314,55.283955,
1047.843,59.331751,
1046.372,48.688719,
1044.901,55.709127,
1043.430,45.900412,
1041.959,44.447118,
1040.488,49.41004,
1039.016,54.838628,
1037.545,39.669381,
1036.074,52.374017,
1034.603,56.796468,
1033.132,45.591345,
1031.661,20.152797,
1030.190,36.312495,
1028.719,31.435982,
1027.248,30.548302,
1025.777,38.499517,
1024.305,29.407731,
1022.834,32.276679,
1021.363,38.351517,
1019.892,34.368331,
1018.421,9.7378863,
1016.950,23.768569,
1015.479,31.260573,
1014.008,44.227821,
1012.537,62.942453,
1011.066,70.926226,
1009.594,71.25133,
1008.123,90.978871,
1006.652,108.95117,
1005.181,96.374892,
1003.710,124.46055,
1002.239,129.22633,
1000.768,135.49948,
999.297,152.43696,
997.826,158.84138,
996.355,167.2147,
994.883,158.67885,
993.412,139.98434,
991.941,130.95089,
990.470,92.160714,
988.999,85.764373,
987.528,82.05889,
986.057,57.437077,
984.586,70.729235,
983.115,60.935411,
981.644,48.573508,
980.172,41.497208,
978.701,36.34549,
977.230,47.774631,
975.759,48.029295,
974.288,38.893393,
972.817,33.747329,
971.346,46.827983,
969.875,44.010238,
968.404,35.879967,
966.933,35.725826,
965.461,47.399708,
963.990,36.969629,
962.519,30.116524,
961.048,37.140574,
959.577,17.519751,
958.106,32.907278,
956.635,37.926426,
955.164,25.657796,
953.693,31.098265,
952.222,49.562401,
950.750,40.091693,
949.279,21.136146,
947.808,56.122979,
946.337,41.230038,
944.866,39.147374,
943.395,41.237387,
941.924,23.069238,
940.453,77.088151,
938.982,88.958909,
937.511,75.765026,
936.039,63.239857,
934.568,78.476406,
933.097,92.653325,
931.626,94.749079,
930.155,76.814714,
928.684,84.420138,
927.213,86.130342,
925.742,81.653523,
924.271,72.484836,
922.800,84.422147,
921.328,96.167921,
919.857,105.93364,
918.386,112.24508,
916.915,109.55202,
915.444,100.66885,
913.973,100.06467,
912.502,112.55035,
911.031,112.69543,
909.560,114.54101,
908.089,111.20792,
906.617,100.99022,
905.146,99.619067,
903.675,110.74199,
902.204,121.70015,
900.733,126.38491,
899.262,124.2289,
897.791,137.66387,
896.320,141.22753,
894.849,125.60807,
893.378,138.87514,
891.906,144.45143,
890.435,148.18195,
888.964,152.17004,
887.493,136.42353,
886.022,142.98952,
884.551,151.91045,
883.080,150.19325,
881.609,170.18003,
880.138,170.85178,
878.667,164.58601,
877.195,162.26367,
875.724,157.7291,
874.253,166.1185,
872.782,177.61863,
871.311,179.74568,
869.840,261.81231,
868.369,286.41782,
866.898,331.17589,
865.427,413.25728,
863.956,539.88089,
862.484,654.32235,
861.013,743.78494,
859.542,788.02142,
858.071,768.94119,
856.600,727.88556,
855.129,666.66836,
853.658,542.78963,
852.187,457.8938,
850.716,381.49297,
849.245,303.08644,
847.773,247.53687,
846.302,203.87183,
844.831,173.94809,
843.360,160.43879,
841.889,117.31014,
840.418,96.099792,
838.947,88.864889,
837.476,82.720399,
836.005,90.39379,
834.534,80.153539,
833.062,60.160135,
831.591,76.055909,
830.120,91.363286,
828.649,91.806944,
827.178,74.157954,
825.707,59.91715,
824.236,63.635214,
822.765,77.889138,
821.294,98.181447,
819.823,71.418782,
818.351,63.189509,
816.880,66.658172,
815.409,62.20295,
813.938,54.658131,
812.467,42.75855,
810.996,31.013744,
809.525,58.011099,
808.054,54.025072,
806.583,44.313635,
805.112,45.466439,
803.640,50.148123,
802.169,52.765037,
800.698,57.715176,
799.227,76.429616,
797.756,75.704818,
796.285,85.813036,
794.814,109.18715,
793.343,84.454199,
791.872,79.331028,
790.401,78.256294,
788.929,66.917371,
787.458,56.337728,
785.987,48.559058,
784.516,44.335869,
783.045,46.190227,
781.574,41.369506,
780.103,34.725706,
778.632,28.085754,
777.161,25.002294,
775.690,34.552013,
774.218,45.263719,
772.747,30.65164,
771.276,30.287928,
769.805,36.04401,
768.334,44.862684,
766.863,30.990249,
765.392,28.288827,
763.921,32.177373,
762.450,37.664862,
760.979,31.464162,
759.507,34.27827,
758.036,48.31794,
756.565,41.64156,
755.094,40.694469,
753.623,43.751184,
752.152,49.939608,
750.681,44.949121,
749.210,40.292289,
747.739,37.186103,
746.268,24.11362,
744.796,26.079135,
743.325,31.761785,
741.854,26.405506,
740.383,30.207057,
738.912,22.321743,
737.441,0.00048064903,
735.970,9.1217758,
734.499,25.044692,
733.028,37.867105,
731.557,27.795082,
730.085,22.990147,
728.614,18.428591,
727.143,12.76291,
725.672,44.512805,
724.201,48.144939,
722.730,34.092805,
721.259,27.588612,
719.788,14.036712,
718.317,8.5849805,
716.846,21.704891,
715.374,31.491144,
713.903,37.006034,
712.432,40.224587,
710.961,55.428046,
709.490,65.775637,
708.019,82.656017,
706.548,123.20177,
705.077,129.61187,
703.606,151.17353,
702.135,199.82702,
700.663,136.97001,
699.192,103.33921,
697.721,85.097796,
696.250,39.839686,
694.779,39.73529,
693.308,54.015617,
691.837,64.919746,
690.366,49.663256,
688.895,48.603841,
687.424,66.451035,
685.952,43.748886,
684.481,25.27688,
683.010,14.992337,
681.539,29.903181,
680.068,28.134914,
678.597,26.614901,
677.126,38.019357,
675.655,53.108919,
674.184,58.343948,
672.713,50.697819,
671.241,30.032756,
669.770,31.182286,
668.299,45.910976,
666.828,47.534134,
665.357,31.43548,
663.886,20.592454,
662.415,43.453101,
660.944,62.574255,
659.473,73.750587,
658.002,73.948443,
656.530,88.651144,
655.059,92.438248,
653.588,84.724217,
652.117,73.136171,
650.646,70.196569,
649.175,70.842265,
647.704,64.111426,
646.233,64.479505,
644.762,67.358556,
643.291,70.192826,
641.819,106.98279,
640.348,141.24475,
638.877,161.69168,
637.406,234.28439,
635.935,308.50521,
634.464,379.72979,
632.993,417.35154,
631.522,422.68311,
630.051,397.9337,
628.580,324.72786,
627.108,238.38264,
625.637,164.06921,
624.166,149.35446,
622.695,114.4886,
621.224,87.074668,
619.753,87.620793,
618.282,71.575457,
616.811,73.797557,
615.340,106.54374,
613.869,88.045472,
612.397,76.681703,
610.926,75.551368,
609.455,63.096579,
607.984,73.00424,
606.513,95.986889,
605.042,81.495837,
603.571,75.016539,
602.100,70.88157,
600.629,56.588943,
599.158,48.570757,
597.686,49.18316,
596.215,68.800524,
594.744,70.521862,
593.273,64.906267,
591.802,54.555472,
590.331,86.657431,
588.860,103.14645,
587.389,77.723113,
585.918,78.392952,
584.447,73.041523,
582.975,55.12329,
581.504,74.204789,
580.033,84.750778,
578.562,83.507602,
577.091,78.881059,
575.620,74.249148,
574.149,69.55703,
572.678,63.577173,
571.207,72.032912,
569.736,88.766365,
568.264,76.694041,
566.793,69.545965,
565.322,66.864627,
563.851,72.934296,
562.380,71.164933,
560.909,67.285414,
559.438,74.570616,
557.967,81.277905,
556.496,86.436167,
555.025,86.166892,
553.553,83.038902,
552.082,79.181433,
550.611,76.893217,
549.140,74.912234,
547.669,75.17489,
546.198,81.671797,
544.727,72.93616,
543.256,63.050434,
541.785,63.480482,
540.314,79.278512,
538.842,94.86647,
537.371,98.441677,
535.900,94.092414,
534.429,84.668341,
532.958,68.18981,
531.487,86.985575,
530.016,97.065194,
528.545,66.966936,
527.074,68.046878,
525.603,74.282321,
524.131,75.399431,
522.660,87.738966,
521.189,93.306837,
519.718,77.67646,
518.247,95.797875,
516.776,112.86267,
515.305,109.11086,
513.834,86.695454,
512.363,77.326585,
510.892,109.39395,
509.420,98.803071,
507.949,81.273561,
506.478,74.156098,
505.007,89.073132,
503.536,102.69983,
502.065,96.544164,
500.594,100.48623,
499.123,105.37718,
497.652,103.84367,
496.181,108.20434,
494.709,113.53321,
493.238,115.30362,
491.767,104.73936,
490.296,95.805804,
488.825,112.093,
487.354,112.4497,
485.883,103.68616,
484.412,85.69387,
482.941,86.469972,
481.470,94.115646,
479.998,84.196981,
478.527,81.623132,
477.056,83.416487,
475.585,82.843509,
474.114,84.176095,
472.643,87.503193,
471.172,100.71762,
469.701,95.287807,
468.230,73.956334,
466.759,50.712866,
465.287,47.286142,
463.816,64.492967,
462.345,81.692796,
460.874,90.62477,
459.403,88.827931,
457.932,74.698022,
456.461,73.464977,
454.990,95.366474,
453.519,67.87385,
452.048,46.836971,
450.576,58.344204,
449.105,68.828947,
447.634,77.565263,
446.163,81.55792,
444.692,73.91832,
443.221,65.27534,
441.750,72.002011,
440.279,72.372592,
438.808,72.384863,
437.337,95.997172,
435.865,94.138188,
434.394,74.865436,
432.923,88.711377,
431.452,87.353763,
429.981,70.687989,
428.510,78.91152,
427.039,84.378471,
425.568,84.167427,
424.097,93.574464,
422.626,96.891657,
421.154,85.028938,
419.683,85.867353,
418.212,90.53768,
416.741,96.189441,
415.270,95.568615,
413.799,95.49085,
412.328,114.82685,
410.857,118.80056,
409.386,113.28231,
407.915,124.50148,
406.443,125.06877,
404.972,114.70721,
403.501,124.42537,
402.030,130.77722,
400.559,130.13404,
