Raman shift [1/cm],Intensity
1431.8,125.08191
1430.329,127.33814
1428.858,129.29082
1427.387,133.394
1425.916,136.24845
1424.445,139.72767
1422.974,145.27638
1421.502,154.81225
1420.031,164.1236
1418.56,171.50344
1417.089,177.31567
1415.618,179.84849
1414.147,180.44139
1412.676,176.51661
1411.205,171.52861
1409.734,163.69481
1408.263,157.17217
1406.791,148.32329
1405.32,136.92842
1403.849,127.81758
1402.378,121.70476
1400.907,118.89904
1399.436,117.48499
1397.965,116.95684
1396.494,114.71951
1395.023,117.60411
1393.552,120.5749
1392.08,120.26676
1390.609,120.12053
1389.138,121.06372
1387.667,124.53242
1386.196,124.86339
1384.725,123.74695
1383.254,125.51261
1381.783,127.76577
1380.312,130.92361
1378.841,134.18168
1377.369,136.3921
1375.898,138.27977
1374.427,142.62494
1372.956,142.33658
1371.485,142.51083
1370.014,141.70366
1368.543,141.58545
1367.072,140.6203
1365.601,137.27982
1364.13,133.85305
1362.658,134.13203
1361.187,133.17326
1359.716,134.49139
1358.245,133.44584
1356.774,131.73778
1355.303,133.00686
1353.832,135.21324
1352.361,136.95099
1350.89,142.58806
1349.419,144.78674
1347.947,144.818
1346.476,145.77935
1345.005,144.82891
1343.534,142.4621
1342.063,140.25764
1340.592,136.62279
1339.121,133.02572
1337.65,127.88571
1336.179,125.68094
1334.708,125.24219
1333.236,125.89754
1331.765,127.00565
1330.294,129.0754
1328.823,132.01982
1327.352,136.80628
1325.881,143.35954
1324.41,150.27181
1322.939,157.13459
1321.468,164.20511
1319.997,171.1115
1318.525,177.64051
1317.054,186.56798
1315.583,195.35763
1314.112,202.82626
1312.641,211.22697
1311.17,219.85077
1309.699,228.0443
1308.228,235.68844
1306.757,246.01343
1305.286,258.21077
1303.814,276.77545
1302.343,301.30118
1300.872,331.51165
1299.401,366.07504
1297.93,403.14818
1296.459,440.40056
1294.988,473.80728
1293.517,501.4239
1292.046,521.69543
1290.575,533.61045
1289.103,535.3952
1287.632,527.11828
1286.161,515.35201
1284.69,499.48287
1283.219,478.94751
1281.748,453.96152
1280.277,425.65856
1278.806,396.17074
1277.335,362.5886
1275.864,328.99795
1274.392,295.2947
1272.921,261.87425
1271.45,231.58133
1269.979,205.70551
1268.508,184.45562
1267.037,166.50326
1265.566,155.52993
1264.095,148.11215
1262.624,139.85279
1261.153,130.99024
1259.681,123.8886
1258.21,116.9967
1256.739,113.11882
1255.268,109.20733
1253.797,104.52606
1252.326,100.91657
1250.855,98.438202
1249.384,95.690547
1247.913,93.049006
1246.442,89.088251
1244.97,89.920771
1243.499,92.924873
1242.028,94.141839
1240.557,94.833372
1239.086,95.484815
1237.615,97.635009
1236.144,98.653814
1234.673,91.152837
1233.202,83.122358
1231.731,73.51375
1230.259,68.669049
1228.788,64.432215
1227.317,62.830182
1225.846,62.799907
1224.375,65.476168
1222.904,70.230787
1221.433,73.274323
1219.962,79.329124
1218.491,84.158869
1217.02,88.291041
1215.548,91.549752
1214.077,91.480051
1212.606,92.604117
1211.135,92.095977
1209.664,97.341796
1208.193,102.00678
1206.722,104.80827
1205.251,106.54029
1203.78,109.12255
1202.309,112.79054
1200.837,115.72637
1199.366,121.57276
1197.895,128.62685
1196.424,141.78613
1194.953,159.95087
1193.482,172.74973
1192.011,184.70243
1190.54,196.36346
1189.069,207.35147
1187.598,214.62859
1186.126,215.95457
1184.655,214.90964
1183.184,211.7156
1181.713,204.10647
1180.242,196.25107
1178.771,186.43908
1177.3,176.34778
1175.829,166.63041
1174.358,155.62561
1172.887,145.00169
1171.415,135.85664
1169.944,128.7666
1168.473,122.76484
1167.002,118.24054
1165.531,113.21018
1164.06,111.78055
1162.589,108.63082
1161.118,106.83936
1159.647,108.77873
1158.176,109.34818
1156.704,108.79749
1155.233,111.26012
1153.762,114.3792
1152.291,118.68197
1150.82,121.14036
1149.349,121.03832
1147.878,121.35855
1146.407,124.78096
1144.936,127.92071
1143.465,130.72014
1141.993,130.24342
1140.522,130.74358
1139.051,134.46571
1137.58,138.49262
1136.109,142.61945
1134.638,151.30635
1133.167,159.30367
1131.696,167.75095
1130.225,174.96025
1128.754,181.7161
1127.282,194.58471
1125.811,213.36778
1124.34,233.163
1122.869,250.60947
1121.398,265.41968
1119.927,276.58713
1118.456,287.50828
1116.985,292.4781
1115.514,292.25619
1114.043,288.45801
1112.571,280.58443
1111.1,270.69797
1109.629,260.8815
1108.158,256.15442
1106.687,261.43229
1105.216,277.01514
1103.745,300.55508
1102.274,328.86743
1100.803,359.37874
1099.332,390.87651
1097.86,420.64505
1096.389,437.06084
1094.918,440.5371
1093.447,429.12409
1091.976,403.42888
1090.505,367.66454
1089.034,329.23838
1087.563,286.08315
1086.092,247.8281
1084.621,210.63549
1083.149,179.00291
1081.678,152.89752
1080.207,132.0702
1078.736,119.41968
1077.265,113.74371
1075.794,106.33699
1074.323,101.61843
1072.852,95.884213
1071.381,90.971074
1069.91,90.05367
1068.438,93.47618
1066.967,92.463771
1065.496,88.381507
1064.025,83.422483
1062.554,80.678996
1061.083,77.172695
1059.612,71.047367
1058.141,67.097798
1056.67,65.482961
1055.199,61.851653
1053.727,60.652515
1052.256,58.287973
1050.785,56.087526
1049.314,54.693421
1047.843,54.611051
1046.372,51.041235
1044.901,48.02193
1043.43,48.262972
1041.959,51.673171
1040.488,51.483724
1039.016,48.923038
1037.545,47.201895
1036.074,45.212094
1034.603,43.169832
1033.132,41.469911
1031.661,38.432621
1030.19,35.803254
1028.719,35.682971
1027.248,34.271744
1025.777,30.891831
1024.305,28.525142
1022.834,27.442494
1021.363,27.676361
1019.892,27.611132
1018.421,29.273608
1016.95,31.812763
1015.479,38.176267
1014.008,45.153187
